date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-11-16,RO,,state,75468,1503,True,1796460,11,4200.92849,0.0199
2020-11-15,RO,,state,75182,1501,False,1796460,11,4185.00829,0.02
2020-11-14,RO,,state,74981,1501,False,1796460,11,4173.81962,0.02
2020-11-13,RO,,state,74598,1497,False,1796460,11,4152.49992,0.0201
2020-11-12,RO,,state,74248,1492,False,1796460,11,4133.01716,0.0201
2020-11-11,RO,,state,73990,1486,False,1796460,11,4118.65558,0.0201
2020-11-10,RO,,state,73688,1482,False,1796460,11,4101.84474,0.0201
2020-11-09,RO,,state,73490,1478,False,1796460,11,4090.82306,0.0201
2020-11-08,RO,,state,73311,1476,False,1796460,11,4080.85902,0.0201
2020-11-07,RO,,state,73040,1474,False,1796460,11,4065.7738,0.0202
2020-11-06,RO,,state,72827,1473,False,1796460,11,4053.91715,0.0202
2020-11-05,RO,,state,72630,1470,False,1796460,11,4042.95114,0.0202
2020-11-04,RO,,state,72295,1464,False,1796460,11,4024.30335,0.0203
2020-11-03,RO,,state,72049,1460,False,1796460,11,4010.60975,0.0203
2020-11-02,RO,,state,71953,1457,False,1796460,11,4005.26591,0.0202
2020-11-01,RO,,state,71889,1457,False,1796460,11,4001.70335,0.0203
2020-10-31,RO,,state,71666,1457,False,1796460,11,3989.29005,0.0203
2020-10-30,RO,,state,71496,1455,False,1796460,11,3979.82699,0.0204
2020-10-29,RO,,state,71351,1454,False,1796460,11,3971.75556,0.0204
2020-10-28,RO,,state,71121,1449,False,1796460,11,3958.95261,0.0204
2020-10-27,RO,,state,70887,1448,False,1796460,11,3945.92699,0.0204
2020-10-26,RO,,state,70600,1442,False,1796460,11,3929.95113,0.0204
2020-10-25,RO,,state,70461,1436,False,1796460,11,3922.21369,0.0204
2020-10-24,RO,,state,70350,1434,False,1796460,11,3916.03487,0.0204
2020-10-23,RO,,state,70041,1431,False,1796460,11,3898.83437,0.0204
2020-10-22,RO,,state,69806,1430,False,1796460,11,3885.75309,0.0205
2020-10-21,RO,,state,69531,1429,False,1796460,11,3870.44521,0.0206
2020-10-20,RO,,state,69332,1429,False,1796460,11,3859.36787,0.0206
2020-10-19,RO,,state,69213,1427,False,1796460,11,3852.74373,0.0206
2020-10-17,RO,,state,68907,1421,False,1796460,11,3835.71023,0.0206
2020-10-16,RO,,state,68823,1421,False,1796460,11,3831.03437,0.0206
2020-10-15,RO,,state,68612,1416,False,1796460,11,3819.28905,0.0206
2020-10-14,RO,,state,68393,1411,False,1796460,11,3807.0984,0.0206
2020-10-13,RO,,state,68126,1406,False,1796460,11,3792.23584,0.0206
2020-10-12,RO,,state,67973,1398,False,1796460,11,3783.71909,0.0206
2020-10-11,RO,,state,67940,1398,False,1796460,11,3781.88215,0.0206
2020-10-10,RO,,state,67812,1396,False,1796460,11,3774.75702,0.0206
2020-10-09,RO,,state,67479,1392,False,1796460,11,3756.22057,0.0206
2020-10-08,RO,,state,67323,1390,False,1796460,11,3747.53682,0.0206
2020-10-07,RO,,state,67181,1385,False,1796460,11,3739.63239,0.0206
2020-10-06,RO,,state,67014,1384,False,1796460,11,3730.33633,0.0207
2020-10-05,RO,,state,66783,1375,False,1796460,11,3717.47771,0.0206
2020-10-04,RO,,state,66623,1371,False,1796460,11,3708.5713,0.0206
2020-10-03,RO,,state,66576,1371,False,1796460,11,3705.95504,0.0206
2020-10-02,RO,,state,66473,1368,False,1796460,11,3700.22155,0.0206
2020-10-01,RO,,state,66261,1367,False,1796460,11,3688.42056,0.0206
2020-09-30,RO,,state,65911,1357,False,1796460,11,3668.9378,0.0206
2020-09-29,RO,,state,65673,1351,False,1796460,11,3655.68952,0.0206
2020-09-28,RO,,state,65386,1340,False,1796460,11,3639.71366,0.0205
2020-09-27,RO,,state,65208,1336,False,1796460,11,3629.80528,0.0205
2020-09-26,RO,,state,64923,1333,False,1796460,11,3613.94075,0.0205
2020-09-25,RO,,state,64732,1328,False,1796460,11,3603.30873,0.0205
2020-09-24,RO,,state,64481,1323,False,1796460,11,3589.33681,0.0205
2020-09-23,RO,,state,64306,1320,False,1796460,11,3579.59543,0.0205
2020-09-22,RO,,state,63781,1312,False,1796460,11,3550.37129,0.0206
2020-09-21,RO,,state,63267,1305,False,1796460,11,3521.75946,0.0206
2020-09-20,RO,,state,62863,1300,False,1796460,11,3499.27079,0.0207
2020-09-19,RO,,state,62697,1297,False,1796460,11,3490.03039,0.0207
2020-09-18,RO,,state,62495,1294,False,1796460,11,3478.78606,0.0207
2020-09-17,RO,,state,62158,1289,False,1796460,11,3460.02694,0.0207
2020-09-16,RO,,state,61619,1277,False,1796460,11,3430.02349,0.0207
2020-09-15,RO,,state,61260,1269,False,1796460,11,3410.03974,0.0207
2020-09-14,RO,,state,60746,1253,False,1796460,11,3381.42792,0.0206
2020-09-13,RO,,state,60484,1246,False,1796460,11,3366.84368,0.0206
2020-09-12,RO,,state,60362,1240,False,1796460,11,3360.05255,0.0205
2020-09-11,RO,,state,60038,1231,False,1796460,11,3342.01708,0.0205
2020-09-10,RO,,state,59620,1217,False,1796460,11,3318.7491,0.0204
2020-09-09,RO,,state,59196,1207,False,1796460,11,3295.14712,0.0204
2020-09-08,RO,,state,58559,1193,False,1796460,11,3259.6885,0.0204
2020-09-07,RO,,state,58237,1187,False,1796460,11,3241.76436,0.0204
2020-09-06,RO,,state,58066,1185,False,1796460,11,3232.24564,0.0204
2020-09-05,RO,,state,57865,1180,False,1796460,11,3221.05697,0.0204
2020-09-04,RO,,state,57352,1172,False,1796460,11,3192.50081,0.0204
2020-09-03,RO,,state,56618,1165,False,1796460,11,3151.64268,0.0206
2020-09-02,RO,,state,56411,1161,False,1796460,11,3140.12001,0.0206
2020-09-01,RO,,state,55768,1155,False,1796460,11,3104.3274,0.0207
2020-08-31,RO,,state,55153,1148,False,1796460,11,3070.09341,0.0208
2020-08-30,RO,,state,54679,1129,False,1796460,11,3043.70818,0.0206
2020-08-29,RO,,state,54496,1125,False,1796460,11,3033.52148,0.0206
2020-08-28,RO,,state,54205,1114,False,1796460,11,3017.32296,0.0206
2020-08-27,RO,,state,53805,1109,False,1796460,11,2995.05695,0.0206
2020-08-26,RO,,state,53119,1100,False,1796460,11,2956.87073,0.0207
2020-08-25,RO,,state,52514,1087,False,1796460,11,2923.19339,0.0207
2020-08-24,RO,,state,51791,1073,False,1796460,11,2882.94757,0.0207
2020-08-23,RO,,state,51421,1065,False,1796460,11,2862.35151,0.0207
2020-08-22,RO,,state,50995,1061,False,1796460,11,2838.63821,0.0208
2020-08-21,RO,,state,50514,1050,False,1796460,11,2811.86333,0.0208
2020-08-20,RO,,state,50147,1045,False,1796460,11,2791.43427,0.0208
2020-08-19,RO,,state,49721,1037,False,1796460,11,2767.72096,0.0209
2020-08-18,RO,,state,48923,1026,False,1796460,11,2723.30027,0.021
2020-08-17,RO,,state,48232,1017,False,1796460,11,2684.83573,0.0211
